id,title,description,min_level,section,image,section_image
1,"What ""Vibecoding"" Actually Means","Building software by directing an AI coding agent in natural language, instead of typing every line yourself.",1,Foundations,unit1.png,
2,"A Different Job: Director, Not Typist",The mental shift from writing code to describing outcomes and reviewing results.,1,Foundations,unit2.png,
3,What Agents Are Genuinely Good At,"Boilerplate, refactors, unfamiliar APIs, and grunt work — where an agent saves you real time.",1,Foundations,unit3.png,
4,Where Agents Still Fall Short,"Ambiguous requirements, deep system-specific context, and confident-sounding guesses.",1,Foundations,unit4.png,
5,Project Context Files,Writing a CLAUDE.md/AGENTS.md-style file so an agent knows your conventions before it starts.,1,Setting Up for Success,unit5.png,
6,Scoping a Task Before You Ask,"Deciding what ""done"" looks like in your own head first, so you can tell if the agent got there.",1,Setting Up for Success,unit6.png,
7,Breaking Big Asks Into Small Steps,"Why one huge request produces worse results than a sequence of small, checkable ones.",1,Setting Up for Success,unit7.png,
8,Being Specific Without Over-Specifying,"Enough detail to avoid guessing, not so much that you're writing the code yourself in prose.",1,Prompting Well,unit8.png,
9,Showing an Example Instead of a Rule,One good example often communicates a pattern faster than a paragraph describing it.,1,Prompting Well,unit9.png,
10,Asking for a Plan First,"Getting the approach on the table before any code gets written, so mistakes are cheap to catch.",1,Prompting Well,unit10.png,
11,Correcting an Agent Mid-Task,Steering a task back on course without starting over from scratch.,1,Prompting Well,unit11.png,
12,"Never Trust, Always Verify","Treating generated code as a strong first draft, not a finished answer.",1,Working With What It Writes,unit12.png,
13,Reading a Diff Like a Reviewer,What to actually look for when an agent hands you a changeset.,1,Working With What It Writes,unit13.png,
14,Running and Testing the Result Yourself,"Why ""it looks right"" is not the same as ""it works.""",1,Working With What It Writes,unit14.png,
15,Spotting a Confident Hallucination,"Recognizing invented APIs, made-up flags, and plausible-sounding nonsense.",1,Working With What It Writes,unit15.png,
16,Reversible vs. Irreversible Actions,Why deleting a branch and editing a file are not the same level of risk.,1,Staying Safe and in Control,unit16.png,
17,Sandboxing and Permissions,"Giving an agent enough access to be useful, and no more.",1,Staying Safe and in Control,unit17.png,
18,Committing in Small Steps While Vibecoding,"Using version control as your undo button for an entire session, not just one file.",1,Staying Safe and in Control,unit18.png,
19,Knowing When to Take Back the Wheel,Recognizing the moment a task needs your hands on the keyboard instead.,1,Staying Safe and in Control,unit19.png,
20,Pair-Programming With an Agent,"Treating the agent like a fast, literal-minded pair partner, not an oracle.",1,Working Together,unit20.png,
21,Using an Agent for Code Review,A second set of (very fast) eyes on a diff before a human reviewer sees it.,1,Working Together,unit21.png,
22,Delegating Research vs. Delegating Implementation,Two very different jobs an agent can do — knowing which one you're actually asking for.,1,Working Together,unit22.png,
23,Losing the Thread in a Long Session,"How context drifts over a long conversation, and how to notice it happening.",1,Common Pitfalls,unit23.png,
24,Over-Trusting a Confident Tone,An agent sounds equally sure whether it's right or completely wrong.,1,Common Pitfalls,unit24.png,
25,Letting Scope Creep In,"When an eager agent quietly does more than you asked, and why that's a problem.",1,Common Pitfalls,unit25.png,
26,Building Reusable Prompts and Playbooks,Turning a prompt that worked once into a repeatable process for next time.,1,Leveling Up,unit26.png,
27,Knowing When Not to Vibecode,"Some problems are faster, safer, or clearer to just solve yourself.",1,Leveling Up,unit27.png,
